Plant,SalesOffice,Material,Demand,TruckType,SubCluster,Cluster,RDC,ORGTruckType,DestCategory,PreferredTruckType,RDCSubCluster,RDCCluster,RDCORGTruckType,RDCDestCategory,ClubPlant,Tyres,DemandTruck
1110,400024,13118360,210,32 MA,S1,S1,,32 MA,OEM,18 FT,,,,,1110,140,1.5
1110,400024,13128360,140,32 MA,S1,S1,,32 MA,OEM,18 FT,,,,,1110,140,1
1110,400024,14118340,350,32 MA,S1,S1,,32 MA,OEM,18 FT,,,,,1110,1044,0.33524904214559387
1110,400044,13138340,100,32 MA,N2,N2,,32 MA,OEM,32 MA,,,,,1110,170,0.5882352941176471
1110,400047,13118360,210,18 FT,S2,S2,,32 MA,OEM,18 FT,,,,,1110,70,3
1110,400047,13128360,140,18 FT,S2,S2,,32 MA,OEM,18 FT,,,,,1110,70,2
1110,400047,14118340,350,18 FT,S2,S2,,32 MA,OEM,18 FT,,,,,1110,400,0.875
1110,400054,13178370,90,32 MA,S1,S1,,32 MA,OEM,18 FT,,,,,1110,50,1.8
1110,400057,29156160,160,32 MA,N1,N1,,32 MA,OEM,32 MA,,,,,1110,80,2
1110,400057,29199160,50,32 MA,N1,N1,,32 MA,OEM,32 MA,,,,,1110,160,0.3125
1110,400062,29143120,4,32 MA,E2,E2,,32 MA,OEM,32 MA,,,,,1110,40,0.1
1110,400063,29156160,20,32 MA,S1_1,S1,,32 MA,OEM,18 FT,,,,,1110,80,0.25
1110,400063,29161100,20,32 MA,S1_1,S1,,32 MA,OEM,18 FT,,,,,1110,64,0.3125
1110,400241,13188320,100,32 MA,W1_1,W1,,32 MA,OEM,32 MA,,,,,1110,400,0.25
1110,400307,29143120,4,32 MA,E2,E2,,32 MA,OEM,32 MA,,,,,1110,40,0.1
1110,400341,13188320,100,32 MA,W1_1,W1,,32 MA,OEM,32 MA,,,,,1110,400,0.25
1120,400024,13168360,100,18 FT,S4_1,S4,,32 MA,OEM,18 FT,,,,,1120,50,2
1120,400024,13198360,120,18 FT,S4_1,S4,,32 MA,OEM,18 FT,,,,,1120,40,3
1120,400024,14118340,100,18 FT,S4_1,S4,,32 MA,OEM,18 FT,,,,,1120,400,0.25
1120,400024,14178640,120,18 FT,S4_1,S4,,32 MA,OEM,18 FT,,,,,1120,280,0.42857142857142855
1120,400031,32051200,12,18 FT,S4_1,S4,,32 MA,OEM,18 FT,,,,,1120
1120,400041,13128360,95,32 SA,N7,N7,,32 MA,OEM,32 MA,,,,,1120,128,0.7421875
1120,400041,14118340,95,32 SA,N7,N7,,32 MA,OEM,32 MA,,,,,1120,605,0.15702479338842976
1120,400042,13168360,100,32 SA,W5,W5,,32 MA,OEM,32 MA,,,,,1120,98,1.0204081632653061
1120,400044,13118360,170,32 SA,N7,N7,,32 MA,OEM,32 MA,,,,,1120,105,1.619047619047619
1120,400044,13128360,130,32 SA,N7,N7,,32 MA,OEM,32 MA,,,,,1120,128,1.015625
1120,400044,14118340,300,32 SA,N7,N7,,32 MA,OEM,32 MA,,,,,1120,605,0.49586776859504134
1120,400045,13118360,85,32 SA,N7,N7,,32 MA,OEM,32 MA,,,,,1120,105,0.8095238095238095
1120,400045,13168360,80,32 SA,N7,N7,,32 MA,OEM,32 MA,,,,,1120,98,0.8163265306122449
1120,400045,13198360,60,32 MA,N7,N7,,32 MA,OEM,32 MA,,,,,1120,80,0.75
1120,400045,14118340,85,32 SA,N7,N7,,32 MA,OEM,32 MA,,,,,1120,605,0.14049586776859505
1120,400045,14178640,140,32 SA,N7,N7,,32 MA,OEM,32 MA,,,,,1120,389,0.35989717223650386
1120,400047,13168360,100,18 FT,S4_1,S4,,32 MA,OEM,18 FT,,,,,1120,50,2
1120,400047,14118340,100,18 FT,S4_1,S4,,32 MA,OEM,18 FT,,,,,1120,400,0.25
1120,400051,13198360,120,32 MA,N7,N7,,32 MA,OEM,32 MA,,,,,1120,80,1.5
1120,400051,14178640,120,32 SA,N7,N7,,32 MA,OEM,32 MA,,,,,1120,389,0.30848329048843187
1120,400054,13168360,50,18 FT,S4_1,S4,,32 MA,OEM,18 FT,,,,,1120,50,1
1120,400054,13198360,40,18 FT,S4_1,S4,,32 MA,OEM,18 FT,,,,,1120,40,1
1120,400054,14118340,50,18 FT,S4_1,S4,,32 MA,OEM,18 FT,,,,,1120,400,0.125
1120,400054,14178640,200,18 FT,S4_1,S4,,32 MA,OEM,18 FT,,,,,1120,280,0.7142857142857143
1120,400057,45056000,160,32 MA,N7,N7,,32 MA,OEM,32 MA,,,,,1120,1000,0.16
1120,400057,45061000,96,32 MA,N7,N7,,32 MA,OEM,32 MA,,,,,1120,2000,0.048
1120,400057,45099000,50,32 MA,N7,N7,,32 MA,OEM,32 MA,,,,,1120,3000,0.016666666666666666
1120,400062,45061000,18,32 MA,E5,E5,,32 MA,OEM,32 MA,,,,,1120,2000,0.009
1120,400063,45057500,20,18 FT,S4_1,S4,,32 MA,OEM,18 FT,,,,,1120,1000,0.02
1120,400063,45061000,20,18 FT,S4_1,S4,,32 MA,OEM,18 FT,,,,,1120,2000,0.01
1120,400083,13198360,60,32 MA,N7,N7,,32 MA,OEM,32 MA,,,,,1120,80,0.75
1120,400083,14178640,60,32 SA,N7,N7,,32 MA,OEM,32 MA,,,,,1120,389,0.15424164524421594
1120,400151,13118360,170,32 SA,N7,N7,,32 MA,OEM,32 MA,,,,,1120,105,1.619047619047619
1120,400151,14118340,170,32 SA,N7,N7,,32 MA,OEM,32 MA,,,,,1120,605,0.2809917355371901
1120,400181,50021530,810,32 MA,E5,E5,,32 MA,OEM,32 MA,,,,,1120,5000,0.162
1120,400206,13118360,80,32 SA,N7,N7,,32 MA,OEM,32 MA,,,,,1120,105,0.7619047619047619
1120,400206,13128360,60,32 SA,N7,N7,,32 MA,OEM,32 MA,,,,,1120,128,0.46875
1120,400206,13168360,80,32 SA,N7,N7,,32 MA,OEM,32 MA,,,,,1120,98,0.8163265306122449
1120,400206,14118340,160,32 SA,N7,N7,,32 MA,OEM,32 MA,,,,,1120,605,0.2644628099173554
1120,400310,13118360,420,32 MA,S4,S4,,32 MA,OEM,18 FT,,,,,1120,140,3
1120,400310,14118340,420,32 MA,S4,S4,,32 MA,OEM,18 FT,,,,,1120,1044,0.40229885057471265
1120,400329,13198360,60,32 MA,W5,W5,,32 MA,OEM,32 MA,,,,,1120,80,0.75
1120,400329,14178640,60,32 SA,W5,W5,,32 MA,OEM,32 MA,,,,,1120,389,0.15424164524421594
1120,400347,13118360,100,32 SA,N7,N7,,32 MA,OEM,32 MA,,,,,1120,105,0.9523809523809523
1120,400347,13128360,190,32 SA,N7,N7,,32 MA,OEM,32 MA,,,,,1120,128,1.484375
1120,400347,14118340,290,32 SA,N7,N7,,32 MA,OEM,32 MA,,,,,1120,605,0.4793388429752066
1130,104687,11126480,184,32 MA,W6,W6,,32 MA,OEM,32 MA,,,,,1130,200,0.92
1130,104687,11128690,364,32 MA,W6,W6,,32 MA,OEM,32 MA,,,,,1130,200,1.82
1130,400071,25171600,150,32 MA,S5_1,S5,,32 MA,OEM,18 FT,,,,,1130,130,1.1538461538461537
1130,400071,25171690,390,32 MA,S5_1,S5,,32 MA,OEM,18 FT,,,,,1130,130,3
1130,400181,11121480,540,32 MA,E6,E6,,32 MA,OEM,32 MA,,,,,1130,200,2.7
1130,400181,11126480,270,32 MA,E6,E6,,32 MA,OEM,32 MA,,,,,1130,200,1.35
1130,400196,25171690,195,32 MA,S5_1,S5,,32 MA,OEM,18 FT,,,,,1130,130,1.5
1130,400196,50011510,195,32 MA,S5_1,S5,,32 MA,OEM,18 FT,,,,,1130,4000,0.04875
1140,400003,20194000,8500,32 MA,W1,W1,,32 MA,OEM,32 MA,,,,,1140,2597,3.273007316134001
1140,400003,20195200,9000,32 MA,W1,W1,,32 MA,OEM,32 MA,,,,,1140,1600,5.625
1140,400003,20325200,1300,32 MA,W1,W1,,32 MA,OEM,32 MA,,,,,1140,2291,0.5674378000872982
1140,400003,28375200,1300,32 MA,W1,W1,,32 MA,OEM,32 MA,,,,,1140,1839,0.7069059271343121
1140,400005,26133030,100,32 MA,S2,S2,,32 MA,OEM,18 FT,,,,,1140,3912,0.02556237218813906
1140,400006,16340150,1000,32 MA,W1,W1,,32 MA,OEM,32 MA,,,,,1140,691,1.447178002894356
1140,400020,21173620,13000,32 MA,N1,N1,,32 MA,OEM,32 MA,,,,,1140,5200,2.5
1140,400021,20887940,4500,32 MA,N1,N1,,32 MA,OEM,32 MA,,,,,1140,2334,1.9280205655526992
1140,400021,21178040,10000,32 MA,N1,N1,,32 MA,OEM,32 MA,,,,,1140,4685,2.134471718249733
1140,400021,28174480,4500,32 MA,N1,N1,,32 MA,OEM,32 MA,,,,,1140,1839,2.4469820554649266
1140,400027,15158720,1100,32 MA,S2,S2,,32 MA,OEM,18 FT,,,,,1140,800,1.375
1140,400027,35051500,1100,32 MA,S2,S2,,32 MA,OEM,18 FT,,,,,1140,7000,0.15714285714285714
1140,400031,50002300,12,32 MA,S1,S1,,32 MA,OEM,18 FT,,,,,1140,5000,0.0024
1140,400038,20186100,1000,32 SA,W1,W1,,32 MA,OEM,32 MA,,,,,1140,1470,0.6802721088435374
1140,400038,26136420,10500,32 MA,W1,W1,,32 MA,OEM,32 MA,,,,,1140,4056,2.588757396449704
1140,400038,27155220,1000,32 SA,W1,W1,,32 MA,OEM,32 MA,,,,,1140,2330,0.4291845493562232
1140,400058,20184040,200,32 MA,N1,N1,,32 MA,OEM,32 MA,,,,,1140,2340,0.08547008547008547
1140,400058,20856240,200,32 MA,N1,N1,,32 MA,OEM,32 MA,,,,,1140,3882,0.05151983513652756
1140,400058,20856380,2600,32 MA,N1,N1,,32 MA,OEM,32 MA,,,,,1140,3882,0.6697578567748583
1140,400058,20864200,2600,32 MA,N1,N1,,32 MA,OEM,32 MA,,,,,1140,2489,1.0445962233828847
1140,400058,41514300,11300,32 MA,N1,N1,,32 MA,OEM,32 MA,,,,,1140
1140,400061,16126660,250,32 MA,S3,S3,,32 MA,OEM,18 FT,,,,,1140,540,0.46296296296296297
1140,400075,26143040,7200,32 MA,W1,W1,,32 MA,OEM,32 MA,,,,,1140,2076,3.468208092485549
1140,400076,16172420,300,32 MA,N1,N1,,32 MA,OEM,32 MA,,,,,1140,914,0.3282275711159737
1140,400081,26143040,1200,32 MA,W1_1,W1,,32 MA,OEM,32 MA,,,,,1140,2076,0.5780346820809249
1140,400121,18340650,1500,32 MA,N2,N2,,32 MA,OEM,32 MA,,,,,1140,1177,1.274426508071368
1140,400121,18360270,1800,32 MA,N2,N2,,32 MA,OEM,32 MA,,,,,1140,1629,1.1049723756906078
1140,400221,18320801,1000,32 SA,W1_1,W1,,32 MA,OEM,32 MA,,,,,1140,1300,0.7692307692307693
