Plant,ClubPlants,Cluster,SubCLuster,TruckType,Destination,operator,Part,sortIndex,Date
1110,1110,S3,S3,32 MA,8150,EXPRESS,SG1,0,1
1130,1130,N9,N9,32 MA,5106,EAST INDIA,SG2,0,7
1110,1110,W1,W1,32 MA,7000,APML,SG1,0,4
1110,1110,W1,W1,32 MA,7150,APML,SG2,0,7
1130,1130,N9,N9,32 MA,5105,CORE,SG2,0,6
1110,1110,W1,W1,32 MA,7152,APML,SG2,0,9
1110,1110,W1,W1,32 MA,400241,EAST INDIA,SG1,0,1
1110,1110,W1,W1,32 MA,400329,MEGA,SG1,0,3
1160,1160,S1,S1,18 FT,400031,KTC,SG1,0,2
1130,1130,N9,N9,32 MA,5103,BLR,SG2,0,10
1130,1130,N9,N9,32 MA,5051,INDOARYA,SG1,0,3
1150,1150/1180,W4,W4,32 MA,400066,RCI,SG2,0,7
1150,1150/1180,W4,W4,32 MA,7301,RCI,SG2,0,9
1130,1130,N8,N8_1,32 MA,5203,SWASTIK,SG1,0,3
1130,1130,N8,N8_1,32 MA,5157,RCI,SG1,0,1
1130,1130,N8,N8_1,32 MA,5155,RCI,SG1,0,3
1130,1130,N8,N8_1,32 MA,5153,LGB,SG2,0,10
1130,1130,N8,N8_1,32 MA,5151,AVG,SG2,0,6
1150,1150/1180,W3,W3_1,32 MA,400350,EXPRESS,SG2,0,8
1130,1130,N8,N8_1,32 MA,5115,AVG,SG1,0,1
1130,1130,N8,N8,32 MA,5305,SHREE SHYAM,SG2,0,6
1150,1150/1180,W3,W3_1,32 MA,7004,EXPRESS,SG1,0,3
1160,1160,S2,S2,18 FT,400186,MAHAVEERA,SG1,0,1
1120,1120,S4,S4_1,18 FT,8001,EAST INDIA,SG1,0,3
1120,1120,S4,S4_1,18 FT,8003,EAST INDIA,SG1,0,5
1130,1130,N8,N8,32 MA,5251,LGB,SG2,0,7
1120,1120,S4,S4_1,18 FT,8004,EAST INDIA,SG1,0,2
1120,1120,S4,S4_1,18 FT,8006,EAST INDIA,SG1,0,4
1120,1120,S4,S4_1,18 FT,8051,EAST INDIA,SG1,0,1
1120,1120,S4,S4_1,18 FT,8052,EAST INDIA,SG2,0,9
1130,1130,N8,N8,32 MA,5061,LGB,SG1,0,5
1130,1130,N8,N8,32 MA,5055,INDOARYA,SG2,0,6
1120,1120,S4,S4_1,18 FT,8053,EAST INDIA,SG2,0,6
1120,1120,S4,S4_1,18 FT,8054,EAST INDIA,SG2,0,8
1130,1130,N8,N8,32 MA,5052,INDOARYA,SG2,0,8
1160,1160,N1,N1,32 MA,400211,EAST INDIA,SG1,0,3
1130,1130,N8,N8,32 MA,5001,AVG,SG1,0,3
1130,1130,E6,E6,32 MA,6207,KAPOOR,SG2,0,6
1130,1130,E6,E6,32 MA,6206,KAPOOR,SG2,0,8
1130,1130,E6,E6,32 MA,6204,KAPOOR,SG2,0,10
1130,1130,E6,E6,32 MA,6202,KAPOOR,SG2,0,7
1160,1160,N1,N1,32 SA,400077,NSTCL,SG1,0,1
1130,1130,E6,E6,32 MA,6105,KAPOOR,SG2,0,9
1130,1130,E6,E6,32 MA,6104,KAPOOR,SG1,0,1
1130,1130,E6,E6,32 MA,6103,KAPOOR,SG1,0,3
1160,1160,N1,N1,32 SA,400323,NSTCL,SG1,0,3
1130,1130,E6,E6,32 MA,6013,ANAND,SG2,0,9
1120,1120,S4,S4_1,18 FT,400327,KTC,SG2,0,10
1130,1130,E6,E6,32 MA,6012,ANAND,SG2,0,6
1150,1150/1180,N4,N4_1,32 MA,400126,VARUNA,SG2,0,6
1150,1150/1180,N4,N4_1,32 MA,5202,RCI,SG1,0,5
1150,1150/1180,N4,N4_1,32 MA,5201,RCI,SG1,0,2
1120,1120,S4,S4,32 MA,8155,EXPRESS,SG1,0,5
1120,1120,S4,S4,32 MA,400310,EXPRESS,SG1,0,2
1130,1130,E6,E6,32 MA,6011,ANAND,SG2,0,8
