Plant,ClubPlant,Destination,Cluster,SubCluster,RDC,DestCategory,PreferredTruckType,ORGTruckType,RDCCluster,RDCSubCluster,RDCDestCategory,RDCORGTruckType,TruckType,DemandTruck
1110,1110,8001,S2,S2,8010,DEPOT,18 FT,32 MA,S2,S2,DEPOT,32 MA,18 FT,0.184
1110,1110,8002,S2,S2,8010,DEPOT,18 FT,32 MA,S2,S2,DEPOT,32 MA,18 FT,0.10400000000000001
1110,1110,8003,S2,S2,8010,DEPOT,18 FT,32 MA,S2,S2,DEPOT,32 MA,18 FT,0.4557698412698413
1110,1110,8004,S2,S2,8010,DEPOT,18 FT,32 MA,S2,S2,DEPOT,32 MA,18 FT,0.30733333333333335
1110,1110,8005,S2,S2,8010,DEPOT,18 FT,32 MA,S2,S2,DEPOT,32 MA,18 FT,1.4002539682539683
1110,1110,8006,S2,S2,8010,DEPOT,18 FT,32 MA,S2,S2,DEPOT,32 MA,18 FT,0.28385714285714286
1110,1110,8010,S2,S2,8010,DEPOT,32 MA,32 MA,S2,S2,DEPOT,32 MA,18 FT,3.454857142857143
1110,1110,8051,S2,S2,7150,DEPOT,18 FT,32 MA,W1,W1,DEPOT,32 MA,18 FT,0.3895
1110,1110,8052,S2,S2,8010,DEPOT,18 FT,32 MA,S2,S2,DEPOT,32 MA,18 FT,0.261
1110,1110,8054,S2,S2,8010,DEPOT,18 FT,32 MA,S2,S2,DEPOT,32 MA,18 FT,0.2411111111111111
1110,1110,8055,S2,S2,8150,DEPOT,18 FT,32 MA,S9,S9_1,DEPOT,32 MA,18 FT,0.044
1110,1110,8102,S2,S2,8300,DEPOT,18 FT,32 MA,S1,S1_1,DEPOT,32 MA,18 FT,0.044
1110,1110,8103,S2,S2,8300,DEPOT,18 FT,32 MA,S1,S1_1,DEPOT,32 MA,18 FT,0.52
1110,1110,8104,S2,S2,8300,DEPOT,18 FT,32 MA,S1,S1_1,DEPOT,32 MA,18 FT,0.128
1110,1110,8105,S2,S2,8300,DEPOT,18 FT,32 MA,S1,S1_1,DEPOT,32 MA,18 FT,0.152
1110,1110,8107,S2,S2,8300,DEPOT,18 FT,32 MA,S1,S1_1,DEPOT,32 MA,18 FT,0.164
1110,1110,8150,S9,S9_1,8150,DEPOT,32 MA,32 MA,S9,S9_1,DEPOT,32 MA,32 MA,2.029342541614347
1110,1110,8153,S3,S3,8150,DEPOT,18 FT,32 MA,S9,S9_1,DEPOT,32 MA,18 FT,0.2571428571428571
1110,1110,8156,S3,S3,8150,DEPOT,18 FT,32 MA,S9,S9_1,DEPOT,32 MA,18 FT,0.6
1110,1110,8251,S3,S3,8150,DEPOT,18 FT,32 MA,S9,S9_1,DEPOT,32 MA,18 FT,3.2925079365079366
1110,1110,8252,S3,S3,8150,DEPOT,18 FT,32 MA,S9,S9_1,DEPOT,32 MA,18 FT,2.5264444444444445
1110,1110,8253,S3,S3,8300,DEPOT,18 FT,32 MA,S1,S1_1,DEPOT,32 MA,18 FT,0.9526984126984127
1110,1110,8254,S3,S3,8150,DEPOT,18 FT,32 MA,S9,S9_1,DEPOT,32 MA,18 FT,0.34285714285714286
1110,1110,8255,S3,S3,8150,DEPOT,18 FT,32 MA,S9,S9_1,DEPOT,32 MA,18 FT,1.4446349206349205
1110,1110,8256,S9,S9_1,8300,DEPOT,18 FT,32 MA,S1,S1_1,DEPOT,32 MA,32 MA,0.43428571428571433
1110,1110,8257,S3,S3,8150,DEPOT,18 FT,32 MA,S9,S9_1,DEPOT,32 MA,18 FT,0.05
1110,1110,8258,S3,S3,8300,DEPOT,18 FT,32 MA,S1,S1_1,DEPOT,32 MA,18 FT,0.6372063492063492
1110,1110,8261,S3,S3,8150,DEPOT,18 FT,32 MA,S9,S9_1,DEPOT,32 MA,18 FT,0.04
1110,1110,8300,S1,S1_1,8300,DEPOT,32 MA,32 MA,S1,S1_1,DEPOT,32 MA,18 FT,13.773187431494337
1110,1110,8301,S1,S1_1,8300,DEPOT,18 FT,32 MA,S1,S1_1,DEPOT,32 MA,18 FT,2.5860869565217395
1110,1110,8302,S1,S1_1,8300,DEPOT,18 FT,32 MA,S1,S1_1,DEPOT,32 MA,18 FT,0.7547826086956523
1110,1110,8303,S1,S1,8300,DEPOT,18 FT,32 MA,S1,S1_1,DEPOT,32 MA,18 FT,0.7669565217391305
1110,1110,8304,S1,S1,8300,DEPOT,18 FT,32 MA,S1,S1_1,DEPOT,32 MA,18 FT,3.081163561076605
1110,1110,8305,S1,S1,8300,DEPOT,18 FT,32 MA,S1,S1_1,DEPOT,32 MA,18 FT,2.056071773636991
1110,1110,8306,S1,S1,8300,DEPOT,18 FT,32 MA,S1,S1_1,DEPOT,32 MA,18 FT,2.2462125603864735
1110,1110,8311,S1,S1,8300,DEPOT,18 FT,32 MA,S1,S1_1,DEPOT,32 MA,18 FT,0.6174492753623189
1110,1110,8312,S1,S1_1,8300,DEPOT,18 FT,32 MA,S1,S1_1,DEPOT,32 MA,18 FT,1.5899130434782611
1110,1110,8313,S1,S1,8300,DEPOT,18 FT,32 MA,S1,S1_1,DEPOT,32 MA,18 FT,1.2191180124223604
1110,1110,8315,S1,S1,8300,DEPOT,18 FT,32 MA,S1,S1_1,DEPOT,32 MA,18 FT,0.47478260869565214
1110,1110,8351,S1,S1,8300,DEPOT,18 FT,32 MA,S1,S1_1,DEPOT,32 MA,18 FT,3.3213043478260866
1110,1110,8352,S1,S1,8300,DEPOT,18 FT,32 MA,S1,S1_1,DEPOT,32 MA,18 FT,2.0246086956521743
1110,1110,8353,S1,S1,8300,DEPOT,18 FT,32 MA,S1,S1_1,DEPOT,32 MA,18 FT,1.4007204968944098
1110,1110,8354,S1,S1,8300,DEPOT,18 FT,32 MA,S1,S1_1,DEPOT,32 MA,18 FT,1.4299006211180125
1110,1110,8355,S1,S1,8300,DEPOT,18 FT,32 MA,S1,S1_1,DEPOT,32 MA,18 FT,1.161577639751553
1110,1110,8356,S1,S1,8300,DEPOT,18 FT,32 MA,S1,S1_1,DEPOT,32 MA,18 FT,2.2686991028295376
1110,1110,400023,W1,W1,,OEM,32 MA,32 MA,,,,,32 MA,0.25
1110,1110,400024,S1,S1,,OEM,18 FT,32 MA,,,,,18 FT,2.585294117647059
1110,1110,400025,N3,N3,,OEM,32 MA,32 MA,,,,,32 MA,0.25882352941176473
1110,1110,400044,N2,N2,,OEM,32 MA,32 MA,,,,,32 MA,0.29411764705882354
