pk_ID,granularity,rowID,formatting,createdDate,modifiedDate,createdBy,modifiedBy,createdIP,modifiedIP,Plant,Code,Destination,Cluster,SubCluster,RDC,TruckType,DestCategory,PreferredTruckType
63756,,0,,,,,,,,1180,7105,LATUR,W3,W3_2,8150,32 MA,DEPOT,32 MA
63758,,0,,,,,,,,1180,7106,BHIWANDI,W3,W3,7102,32 MA,DEPOT,32 MA
63757,,0,,,,,,,,1180,7151,PUNE,W3,W3,7150,32 MA,DEPOT,32 MA
63755,,0,,,,,,,,1180,7104,PANJIM,W3,W3,7150,32 MA,DEPOT,18 FT
63754,,0,,,,,,,,1180,7103,KOLHAPUR,W3,W3_2,7150,32 MA,DEPOT,32 MA
63753,,0,,,,,,,,1180,7100,MUMBAI,W3,W3,7102,32 MA,DEPOT,32 MA
63752,,0,,,,,,,,1180,7102,NAVI MUMBAI,W3,W3,7102,32 MA,DEPOT,32 MA
63750,,0,,,,,,,,1180,7054,BHAVNAGAR,W3,W3_1,7000,32 MA,DEPOT,32 MA
63751,,0,,,,,,,,1180,7101,SAKINAKA,W3,W3,7102,32 MA,DEPOT,18 FT
63749,,0,,,,,,,,1180,7053,JAMNAGAR,W3,W3_1,7051,32 MA,DEPOT,32 MA
63747,,0,,,,,,,,1180,7052,GANDHIDHAM,W3,W3_1,7051,32 MA,DEPOT,32 MA
63748,,0,,,,,,,,1180,7051,RAJKOT,W3,W3_1,7051,32 MA,DEPOT,32 MA
63744,,0,,,,,,,,1180,7003,BARODA,W3,W3_1,7000,32 MA,DEPOT,32 MA
63745,,0,,,,,,,,1180,7002,SURAT,W3,W3_1,7000,32 MA,DEPOT,32 MA
63746,,0,,,,,,,,1180,7004,MEHSANA,W3,W3_1,7000,32 MA,DEPOT,32 MA
63742,,0,,,,,,,,1180,7000,BARODA RDC,W3,W3_1,7000,32 MA,DEPOT,32 MA
63743,,0,,,,,,,,1180,7001,AHMEDABAD,W3,W3_1,7000,32 MA,DEPOT,32 MA
63741,,0,,,,,,,,1180,6206,BEGUSARAI,E3,E3,6200,32 MA,DEPOT,32 MA
63740,,0,,,,,,,,1180,6207,GAYA,E3,E3,6200,32 MA,DEPOT,32 MA
63739,,0,,,,,,,,1180,6204,MUZZAFFARPUR,E3,E3,6200,32 MA,DEPOT,32 MA
63736,,0,,,,,,,,1180,6202,RANCHI,E3,E3,6200,32 MA,DEPOT,32 MA
63737,,0,,,,,,,,1180,6203,DHANBAD,E3,E3,6200,32 MA,DEPOT,32 MA
63738,,0,,,,,,,,1180,6205,JAMSHEDPUR,E3,E3,6200,32 MA,DEPOT,32 MA
63735,,0,,,,,,,,1180,6156,IMPHAL,E4,E4,6000,32 MA,DEPOT,32 MA
63732,,0,,,,,,,,1180,6154,AIZWAL,E4,E4,6000,32 MA,DEPOT,32 MA
63733,,0,,,,,,,,1180,6200,PATNA RDC,E3,E3,6200,32 MA,DEPOT,32 MA
63734,,0,,,,,,,,1180,6201,PATNA,E3,E3,6200,32 MA,DEPOT,32 MA
63730,,0,,,,,,,,1180,6152,AGARTALA,E4,E4,6000,32 MA,DEPOT,32 MA
63731,,0,,,,,,,,1180,6105,BARPETA,E4,E4,6102,32 MA,DEPOT,32 MA
63727,,0,,,,,,,,1180,6102,TRIPURA ROAD,E4,E4,6102,32 MA,DEPOT,32 MA
63728,,0,,,,,,,,1180,6103,SILCHAR,E4,E4,6102,32 MA,DEPOT,18 FT
63729,,0,,,,,,,,1180,6104,JORHAT,E4,E4,6102,32 MA,DEPOT,32 MA
63725,,0,,,,,,,,1180,6055,JEYPORE,E4,E4,6053,32 MA,DEPOT,32 MA
63726,,0,,,,,,,,1180,6101,GUWAHATI,E4,E4,6102,32 MA,DEPOT,32 MA
63722,,0,,,,,,,,1180,6052,ROURKELA,E4,E4,6053,32 MA,DEPOT,32 MA
63723,,0,,,,,,,,1180,6053,BHUBANESHWAR,E4,E4,6053,32 MA,DEPOT,32 MA
63724,,0,,,,,,,,1180,6054,BARBIL,E4,E4,6053,32 MA,DEPOT,32 MA
63721,,0,,,,,,,,1180,6013,SODEPUR,E4,E4,6000,32 MA,DEPOT,32 MA
63719,,0,,,,,,,,1180,6011,MIDNAPORE,E4,E4,6000,32 MA,DEPOT,32 MA
63720,,0,,,,,,,,1180,6012,BERHAMPORE,E4,E4,6000,32 MA,DEPOT,18 FT
63718,,0,,,,,,,,1180,6003,SILIGURI,E4,E4,6000,32 MA,DEPOT,32 MA
63715,,0,,,,,,,,1180,6000,KOLKATA RDC,E4,E4,6000,32 MA,DEPOT,32 MA
63716,,0,,,,,,,,1180,6001,KOLKATA,E4,E4,6000,32 MA,DEPOT,32 MA
63717,,0,,,,,,,,1180,6004,ASANSOL,E4,E4,6000,32 MA,DEPOT,32 MA
63713,,0,,,,,,,,1180,5308,AMRITSAR,N5,N5,5301,32 MA,DEPOT,32 MA
