Plant,SalesOffice,Material,Demand,TruckType,SubCluster,Cluster,RDC,ORGTruckType,DestCategory,PreferredTruckType,RDCSubCluster,RDCCluster,RDCORGTruckType,RDCDestCategory,ClubPlant,oldTruckType,Tyres,DemandTruck
1140,4003,32061300,1665,32 MA,S9_4,S9,,18 FT,EXPORT,32 MA,,,,,1140,18 FT,6000,0.2775
1120,4000,34011000,430,18 FT,S4_2,S4,,18 FT,EXPORT,32 MA,,,,,1120,18 FT,8000,0.05375
1120,4003,36011300,2440,18 FT,S4_2,S4,,18 FT,EXPORT,32 MA,,,,,1120,18 FT,2000,1.22
1140,4000,36011300,8385,32 MA,S9_4,S9,,18 FT,EXPORT,32 MA,,,,,1140,18 FT,6000,1.3975
1150,4003,36011300,2000,32 MA,S9_5,S9,,18 FT,EXPORT,32 MA,,,,,1150/1180,18 FT,6000,0.3333333333333333
1140,4000,36021300,500,32 MA,S9_4,S9,,18 FT,EXPORT,32 MA,,,,,1140,18 FT,8000,0.0625
1140,4003,36021300,332,32 MA,S9_4,S9,,18 FT,EXPORT,32 MA,,,,,1140,18 FT,8000,0.0415
1150,4000,36021300,385,32 MA,S9_5,S9,,18 FT,EXPORT,32 MA,,,,,1150/1180,18 FT,8000,0.048125
1150,4003,36021300,688,32 MA,S9_5,S9,,18 FT,EXPORT,32 MA,,,,,1150/1180,18 FT,8000,0.086
1140,4000,36049100,1845,32 MA,S9_4,S9,,18 FT,EXPORT,32 MA,,,,,1140,18 FT,25000,0.0738
1140,4003,36049100,2485,32 MA,S9_4,S9,,18 FT,EXPORT,32 MA,,,,,1140,18 FT,25000,0.0994
1140,4000,36082000,205,32 MA,S9_4,S9,,18 FT,EXPORT,32 MA,,,,,1140,18 FT,10000,0.0205
1140,4000,37021000,100,32 MA,S9_4,S9,,18 FT,EXPORT,32 MA,,,,,1140,18 FT,25000,0.004
1140,4000,38011000,70,32 MA,S9_4,S9,,18 FT,EXPORT,32 MA,,,,,1140,18 FT,10000,0.007
1140,4000,38081500,90,32 MA,S9_4,S9,,18 FT,EXPORT,32 MA,,,,,1140,18 FT,25000,0.0036
1140,4000,39031500,130,32 MA,S9_4,S9,,18 FT,EXPORT,32 MA,,,,,1140,18 FT,10000,0.013
1140,4000,39033500,400,32 MA,S9_4,S9,,18 FT,EXPORT,32 MA,,,,,1140,18 FT,15000,0.02666666666666667
1140,4000,36341500,1130,32 MA,S9_4,S9,,18 FT,EXPORT,32 MA,,,,,1140,18 FT,10000,0.113
1120,4000,31011000,65,18 FT,S4_2,S4,,18 FT,EXPORT,32 MA,,,,,1120,18 FT,1000,0.065
1120,4003,31021000,165,18 FT,S4_2,S4,,18 FT,EXPORT,32 MA,,,,,1120,18 FT,1000,0.165
1120,4000,31031300,260,18 FT,S4_2,S4,,18 FT,EXPORT,32 MA,,,,,1120,18 FT,1000,0.26
1150,4003,31031300,6015,32 MA,S9_5,S9,,18 FT,EXPORT,32 MA,,,,,1150/1180,18 FT,3000,2.005
1120,4000,31051300,300,18 FT,S4_2,S4,,18 FT,EXPORT,32 MA,,,,,1120,18 FT,1000,0.3
1150,4003,31051300,4265,32 MA,S9_5,S9,,18 FT,EXPORT,32 MA,,,,,1150/1180,18 FT,4000,1.06625
1120,4003,31079000,455,18 FT,S4_2,S4,,18 FT,EXPORT,32 MA,,,,,1120,18 FT,1500,0.30333333333333334
1130,4000,45075500,165,32 MA,S9_3,S9,,18 FT,EXPORT,32 MA,,,,,1130,18 FT,2000,0.0825
1120,4000,45375500,330,18 FT,S4_2,S4,,18 FT,EXPORT,32 MA,,,,,1120,18 FT,1000,0.33
1120,4000,33011000,65,18 FT,S4_2,S4,,18 FT,EXPORT,32 MA,,,,,1120,18 FT,1000,0.065
1120,4000,33091500,30,18 FT,S4_2,S4,,18 FT,EXPORT,32 MA,,,,,1120,18 FT,300,0.1
1120,4000,45067000,10,18 FT,S4_2,S4,,18 FT,EXPORT,32 MA,,,,,1120,18 FT,1000,0.01
1140,4000,50064000,1065,32 MA,S9_4,S9,,18 FT,EXPORT,32 MA,,,,,1140,18 FT,10000,0.1065
1140,4003,50064000,2365,32 MA,S9_4,S9,,18 FT,EXPORT,32 MA,,,,,1140,18 FT,10000,0.2365
1120,4003,50084000,4125,18 FT,S4_2,S4,,18 FT,EXPORT,32 MA,,,,,1120,18 FT,3000,1.375
