ClubPlant,Cluster,SubCluster,Destination,Operator,TruckType,NoofIndents
1120,S4,S4_2,400327,KTC,18 FT,1
1120,S4,S4_2,8300,DEDICATED,32 MA,1
1120,S4,S4_2,8300,EAST INDIA,18 FT,4
1120,S4,S4_2,8300,KTC,18 FT,5
1120,S4,S4_2,8300,RCI,18 FT,1
1120,S4,S4_2,8300,VARUNA,18 FT,3
1120,S4,S4_2,8303,KTC,18 FT,4
1120,S4,S4_2,8305,DEDICATED,18 FT,1
1120,S4,S4_2,8305,KTC,18 FT,1
1120,S4,S4_2,8305,RCI,18 FT,1
1120,S4,S4_2,8313,KTC,18 FT,2
1120,S4,S4_2,8351,DEDICATED,32 MA,1
1120,S4,S4_2,8351,EAST INDIA,18 FT,1
1120,S4,S4_2,8351,KTC,18 FT,1
1120,S4,S4_2,8352,VARUNA,18 FT,1
1120,S4,S4_2,8353,KTC,18 FT,1
1120,S4,S4_2,8353,MEGA,18 FT,1
1120,S4,S4_2,8354,EAST INDIA,18 FT,2
1120,S4,S4_2,8354,KTC,18 FT,2
1120,S9,S9_2,400310,DEDICATED,32 MA,12
1120,S9,S9_2,400310,EXPRESS,32 MA,2
1120,S9,S9_2,400310,MEGA,32 MA,1
1120,S9,S9_2,8150,DEDICATED,32 MA,14
1120,S9,S9_2,8150,EXPRESS,32 MA,1
1120,S9,S9_2,8150,KTC,32 MA,1
1120,W5,W5,400039,LG BROTHERS,32 SA,13
1120,W5,W5,400039,NSTCL,32 SA,4
1120,W5,W5,400043,EXPRESS,32 MA,1
1120,W5,W5,400043,LG BROTHERS,32 SA,27
1120,W5,W5,400043,NSTCL,32 SA,4
1120,W5,W5,400048,EAST INDIA,32 MA,1
1120,W5,W5,400048,EAST INDIA,32 SA,1
1120,W5,W5,400048,LG BROTHERS,32 SA,9
1120,W5,W5,400191,MEGA,32 MA,2
1120,W5,W5,400318,LG BROTHERS,32 SA,5
1120,W5,W5,400329,LG BROTHERS,32 SA,1
1120,W5,W5,5156,EXPRESS,32 MA,1
1120,W5,W5,5156,SWASTIK,32 MA,1
1120,W5,W5,7000,LG BROTHERS,32 SA,1
1120,W5,W5,7000,RCI,32 MA,1
