Plant,SalesOffice,Material,Demand
1120,5102,33021000,15
1120,5102,33011000,18
1120,5102,64050790,23
1120,5102,64060310,27
1120,5102,64051290,34
1120,5102,65161040,35
1120,5102,64051160,35
1120,5102,61410200,45
1120,5102,64050520,97
1120,5102,34011000,297
1120,5103,71025600,1
1120,5103,13128360,2
1120,5103,14118340,4
1120,5103,31071000,5
1120,5103,71011320,5
1120,5103,72042000,5
1120,5103,14119740,10
1120,5103,31331000,10
1120,5103,64050680,19
1120,5103,33011000,28
1120,5103,65161020,28
1120,5103,64051710,33
1120,5103,64050620,55
1120,5103,61410200,67
1120,5103,34011000,125
1120,5103,64051310,356
1120,5104,31071000,5
1120,5104,33011000,22
1120,5104,14119740,108
1120,5104,34011000,755
1120,5105,31331000,5
1120,5105,33061000,11
1120,5105,33021000,13
1120,5105,33011000,16
1120,5105,34011000,67
1120,5106,71013900,1
1120,5106,64060220,3
1120,5106,33021000,5
1120,5106,33061000,5
1120,5106,71013100,5
1120,5106,71013200,10
1120,5106,64050320,12
1120,5106,33011000,20
1120,5106,64051290,68
1120,5106,34011000,198
1120,5106,65161010,315
1120,5106,61610070,1350
1120,5107,31331000,5
1120,5107,13128360,38
1120,5107,33021000,39
1120,5107,33011000,75
1120,5107,34011000,107
1120,5108,31071000,5
1120,5108,33011000,5
1120,5108,13119360,6
1120,5108,14119740,11
1120,5108,13118360,12
1120,5108,14118340,19
1120,5108,34011000,157
1120,5109,31071000,5
1120,5109,71116400,5
1120,5109,72042000,7
1120,5109,33011000,16
1120,5109,13118360,18
1120,5109,13119760,24
1120,5109,31331000,27
1120,5109,64051160,35
1120,5109,64050010,62
1120,5109,34011000,63
1120,5109,64051290,68
1120,5109,64051710,96
1120,5109,64050510,155
1120,5111,33061000,5
1120,5111,33021000,13
1120,5111,33011000,29
1120,5111,34011000,86
1120,5112,31071000,5
1120,5112,72042000,8
1120,5112,31331000,10
1120,5112,72012000,10
1120,5112,64050320,12
1120,5112,64050700,37
1120,5112,64050510,39
1120,5112,33011000,46
1120,5112,64051710,64
1120,5112,64050790,70
1120,5112,64060270,76
1120,5112,64051160,86
1120,5112,64051700,113
1120,5112,64050010,125
1120,5112,34011000,132
1120,5112,64051290,135
