Plant,ClubPlant,Destination,Cluster,SubCluster,RDC,DestCategory,PreferredTruckType,ORGTruckType,RDCCluster,RDCSubCluster,RDCDestCategory,RDCORGTruckType,TruckType,DemandTruck,FullTruckDemand,PartialTruckDemand,PartialTruckDemand_PreferredTruckType,Month,Period,Year
1110,1110,8006,S2,S2,8010,DEPOT,32 MA,18 FT,S2,S2,DEPOT,18 FT,18 FT,0.7612142857142856,0,0.7612142857142856,0.3806071428571428,May,01,2016
1110,1110,8006,S2,S2,8010,DEPOT,32 MA,18 FT,S2,S2,DEPOT,18 FT,32 SA,0.1896551724137931,0,0.1896551724137931,0.1896551724137931,May,01,2016
1110,1110,8010,S2,S2,8010,DEPOT,18 FT,18 FT,S2,S2,DEPOT,18 FT,18 FT,0.575,0,0.575,0.575,May,01,2016
1110,1110,8051,S2,S2,7150,DEPOT,32 MA,18 FT,W1,W1,DEPOT,32 MA,18 FT,0.2887142857142857,0,0.2887142857142857,0.14435714285714285,May,01,2016
1110,1110,8052,S2,S2,8010,DEPOT,32 MA,18 FT,S2,S2,DEPOT,18 FT,18 FT,0.5982142857142857,0,0.5982142857142857,0.29910714285714285,May,01,2016
1110,1110,8054,S2,S2,8010,DEPOT,32 MA,18 FT,S2,S2,DEPOT,18 FT,18 FT,0.25,0,0.25,0.125,May,01,2016
1110,1110,8055,S2,S2,8150,DEPOT,32 MA,18 FT,S9,S9_1,DEPOT,18 FT,18 FT,0.05,0,0.05,0.025,May,01,2016
1110,1110,8102,S2,S2,8110,DEPOT,32 MA,18 FT,S2,S2,DEPOT,18 FT,18 FT,0.2357142857142857,0,0.2357142857142857,0.11785714285714285,May,01,2016
1110,1110,8103,S2,S2,8110,DEPOT,32 MA,18 FT,S2,S2,DEPOT,18 FT,18 FT,1.181863354037267,1,0.18186335403726694,0.09093167701863347,May,01,2016
1110,1110,8104,S2,S2,8110,DEPOT,32 MA,18 FT,S2,S2,DEPOT,18 FT,18 FT,0.33285714285714285,0,0.33285714285714285,0.16642857142857143,May,01,2016
1110,1110,8105,S2,S2,8110,DEPOT,32 MA,18 FT,S2,S2,DEPOT,18 FT,18 FT,0.2757142857142857,0,0.2757142857142857,0.13785714285714284,May,01,2016
1110,1110,8106,S2,S2,8110,DEPOT,32 MA,18 FT,S2,S2,DEPOT,18 FT,18 FT,0.24000000000000002,0,0.24000000000000002,0.12000000000000001,May,01,2016
1110,1110,8107,S2,S2,8110,DEPOT,32 MA,18 FT,S2,S2,DEPOT,18 FT,18 FT,0.1,0,0.1,0.05,May,01,2016
1110,1110,8110,S2,S2,8110,DEPOT,18 FT,18 FT,S2,S2,DEPOT,18 FT,18 FT,0.025,0,0.025,0.025,May,01,2016
1110,1110,8150,S9,S9_1,8150,DEPOT,18 FT,18 FT,S9,S9_1,DEPOT,18 FT,32 MA,0.0625,0,0.0625,0.125,May,01,2016
1110,1110,8151,S9,S9_1,8150,DEPOT,32 MA,18 FT,S9,S9_1,DEPOT,18 FT,32 MA,0.20714285714285713,0,0.20714285714285713,0.20714285714285713,May,01,2016
1110,1110,8153,S3,S3,8150,DEPOT,32 MA,18 FT,S9,S9_1,DEPOT,18 FT,18 FT,0.8142857142857143,0,0.8142857142857143,0.40714285714285714,May,01,2016
1110,1110,8155,S3,S3,8150,DEPOT,32 MA,18 FT,S9,S9_1,DEPOT,18 FT,18 FT,0.7571428571428571,0,0.7571428571428571,0.37857142857142856,May,01,2016
1110,1110,8156,S3,S3,8150,DEPOT,32 MA,18 FT,S9,S9_1,DEPOT,18 FT,18 FT,0.6184873949579832,0,0.6184873949579832,0.3092436974789916,May,01,2016
1110,1110,8251,S3,S3,8150,DEPOT,32 MA,18 FT,S9,S9_1,DEPOT,18 FT,18 FT,2.137142857142857,2,0.137142857142857,0.0685714285714285,May,01,2016
1110,1110,8252,S3,S3,8150,DEPOT,32 MA,18 FT,S9,S9_1,DEPOT,18 FT,18 FT,1.3145714285714287,1,0.3145714285714287,0.15728571428571436,May,01,2016
1110,1110,8253,S3,S3,8300,DEPOT,32 MA,18 FT,S1,S1_1,DEPOT,18 FT,18 FT,2.4563229813664598,2,0.45632298136645977,0.22816149068322988,May,01,2016
1110,1110,8254,S3,S3,8150,DEPOT,32 MA,18 FT,S9,S9_1,DEPOT,18 FT,18 FT,0.5714285714285714,0,0.5714285714285714,0.2857142857142857,May,01,2016
1110,1110,8255,S3,S3,8150,DEPOT,32 MA,18 FT,S9,S9_1,DEPOT,18 FT,18 FT,0.6142857142857142,0,0.6142857142857142,0.3071428571428571,May,01,2016
1110,1110,8256,S9,S9_1,8300,DEPOT,32 MA,18 FT,S1,S1_1,DEPOT,18 FT,32 MA,0.3142857142857143,0,0.3142857142857143,0.3142857142857143,May,01,2016
1110,1110,8257,S3,S3,8150,DEPOT,32 MA,18 FT,S9,S9_1,DEPOT,18 FT,18 FT,0.9428571428571428,0,0.9428571428571428,0.4714285714285714,May,01,2016
1110,1110,8258,S3,S3,8300,DEPOT,32 MA,18 FT,S1,S1_1,DEPOT,18 FT,18 FT,1.7406211180124225,1,0.7406211180124225,0.37031055900621124,May,01,2016
1110,1110,8259,S3,S3,8150,DEPOT,32 MA,18 FT,S9,S9_1,DEPOT,18 FT,18 FT,2.2883478260869565,2,0.2883478260869565,0.14417391304347826,May,01,2016
1110,1110,8261,S3,S3,8150,DEPOT,32 MA,18 FT,S9,S9_1,DEPOT,18 FT,18 FT,0.05,0,0.05,0.025,May,01,2016
