Plant,ClubPlant,Destination,Cluster,SubCluster,RDC,DestCategory,RDCCluster,RDCSubCluster,RDCDestCategory,RDCORGTruckType,TruckType,TruckDemandFinal
1150,1150/1180,6105,E4,E4,6000,DEPOT,E4,E4,DEPOT,32 MA,32 MA,0
1150,1150/1180,6200,E3,E3,6200,DEPOT,E3,E3,DEPOT,32 MA,32 MA,2
1150,1150/1180,6201,E3,E3,6200,DEPOT,E3,E3,DEPOT,32 MA,32 MA,0
1150,1150/1180,6202,E3,E3,6200,DEPOT,E3,E3,DEPOT,32 MA,32 MA,1
1150,1150/1180,6203,E3,E3,6200,DEPOT,E3,E3,DEPOT,32 MA,32 MA,1
1150,1150/1180,6204,E3,E3,6200,DEPOT,E3,E3,DEPOT,32 MA,32 MA,1
1150,1150/1180,6205,E3,E3,6200,DEPOT,E3,E3,DEPOT,32 MA,32 MA,1
1150,1150/1180,6206,E3,E3,6200,DEPOT,E3,E3,DEPOT,32 MA,32 MA,0
1150,1150/1180,6207,E3,E3,6200,DEPOT,E3,E3,DEPOT,32 MA,32 MA,1
1150,1150/1180,7000,W3,W3_1,7000,DEPOT,W3,W3_1,DEPOT,32 MA,32 MA,1
1150,1150/1180,7001,W3,W3_1,7000,DEPOT,W3,W3_1,DEPOT,32 MA,32 MA,2
1150,1150/1180,7002,W3,W3_1,7000,DEPOT,W3,W3_1,DEPOT,32 MA,32 MA,2
1150,1150/1180,7003,W3,W3_1,7000,DEPOT,W3,W3_1,DEPOT,32 MA,32 MA,1
1150,1150/1180,7004,W3,W3_1,7000,DEPOT,W3,W3_1,DEPOT,32 MA,32 MA,1
1150,1150/1180,7051,W3,W3_1,7000,DEPOT,W3,W3_1,DEPOT,32 MA,32 MA,2
1150,1150/1180,7052,W3,W3_1,7000,DEPOT,W3,W3_1,DEPOT,32 MA,32 MA,0
1150,1150/1180,7053,W3,W3_1,7000,DEPOT,W3,W3_1,DEPOT,32 MA,32 MA,0
1150,1150/1180,7054,W3,W3_1,7000,DEPOT,W3,W3_1,DEPOT,32 MA,32 MA,1
1150,1150/1180,7102,W3,W3,7102,DEPOT,W3,W3,DEPOT,32 MA,32 MA,3
1150,1150/1180,7103,W3,W3,7150,DEPOT,W3,W3,DEPOT,32 MA,32 MA,2
1150,1150/1180,7104,S,S,7150,DEPOT,W3,W3,DEPOT,32 MA,18 FT,0
1150,1150/1180,7105,W3,W3,8150,DEPOT,S,S,DEPOT,32 MA,32 MA,2
1150,1150/1180,7150,W3,W3,7150,DEPOT,W3,W3,DEPOT,32 MA,32 MA,1
1150,1150/1180,7151,W3,W3,7150,DEPOT,W3,W3,DEPOT,32 MA,32 MA,1
1150,1150/1180,7152,W3,W3,7152,DEPOT,W3,W3,DEPOT,32 MA,32 MA,5
1150,1150/1180,7153,W3,W3,7150,DEPOT,W3,W3,DEPOT,32 MA,32 MA,2
1150,1150/1180,7154,W3,W3,7150,DEPOT,W3,W3,DEPOT,32 MA,32 MA,1
1150,1150/1180,7155,W3,W3,7150,DEPOT,W3,W3,DEPOT,32 MA,32 MA,0
1150,1150/1180,7157,W3,W3,7150,DEPOT,W3,W3,DEPOT,32 MA,32 MA,1
1150,1150/1180,7161,W3,W3,7250,DEPOT,W4,W4,DEPOT,32 MA,32 MA,1
1150,1150/1180,7250,W4,W4,7250,DEPOT,W4,W4,DEPOT,32 MA,32 MA,1
1150,1150/1180,7251,W4,W4,7250,DEPOT,W4,W4,DEPOT,32 MA,32 MA,3
1150,1150/1180,7252,W4,W4,7250,DEPOT,W4,W4,DEPOT,32 MA,32 MA,2
1150,1150/1180,7253,W4,W4,5050,DEPOT,N5,N5,DEPOT,32 MA,32 MA,0
1150,1150/1180,7254,W4,W4,7250,DEPOT,W4,W4,DEPOT,32 MA,32 MA,2
1150,1150/1180,7301,W4,W4,7250,DEPOT,W4,W4,DEPOT,32 MA,32 MA,2
1150,1150/1180,7302,W4,W4,7302,DEPOT,W4,W4,DEPOT,32 MA,32 MA,3
1150,1150/1180,7304,W4,W4,7250,DEPOT,W4,W4,DEPOT,32 MA,32 MA,0
1150,1150/1180,8001,S,S,8300,DEPOT,S,S,DEPOT,32 MA,32 MA,1
1150,1150/1180,8002,S,S,8300,DEPOT,S,S,DEPOT,32 MA,18 FT,0
1150,1150/1180,8003,S,S,8300,DEPOT,S,S,DEPOT,32 MA,32 MA,1
