pk_ID,granularity,rowID,formatting,createdDate,modifiedDate,createdBy,modifiedBy,createdIP,modifiedIP,Plant,SalesOffice,Material,Period,Demand,TruckType,SubCluster,Cluster,RDC,ORGTruckType,DestCategory,PreferredTruckType,RDCSubCluster,RDCCluster,RDCORGTruckType,RDCDestCategory,ClubPlant,Tyres,DemandTruck
463,,463,{},1452163448,1452163448,19,19,,,1180,400076,16361181,01To10,2000,32 SA,N4,N4,,32 MA,OEM,32 MA,,,,,1150/1180,448,4.464285714285714
464,,464,{},1452163448,1452163448,19,19,,,1180,400076,18360201,01To10,3000,32 SA,N4,N4,,32 MA,OEM,32 MA,,,,,1150/1180,1217,2.4650780608052587
465,,465,{},1452163448,1452163448,19,19,,,1180,400076,18381161,01To10,6000,32 SA,N4,N4,,32 MA,OEM,32 MA,,,,,1150/1180,800,7.5
466,,466,{},1452163448,1452163448,19,19,,,1180,400171,16350621,01To10,1300,32 MA,S,S,,32 MA,OEM,18 FT,,,,,1150/1180,724,1.7955801104972375
467,,467,{},1452163448,1452163448,19,19,,,1180,400211,18340561,01To10,8000,32 SA,N4,N4,,32 MA,OEM,32 MA,,,,,1150/1180,942,8.492569002123142
468,,468,{},1452163448,1452163448,19,19,,,1180,400211,18360201,01To10,2000,32 SA,N4,N4,,32 MA,OEM,32 MA,,,,,1150/1180,1217,1.6433853738701725
469,,469,{},1452163448,1452163448,19,19,,,1180,400211,18381081,01To10,8500,32 SA,N4,N4,,32 MA,OEM,32 MA,,,,,1150/1180,800,10.625
470,,470,{},1452163448,1452163448,19,19,,,1180,400211,18381141,01To10,3500,32 SA,N4,N4,,32 MA,OEM,32 MA,,,,,1150/1180,800,4.375
471,,471,{},1452163448,1452163448,19,19,,,1180,400286,21173600,01To10,20000,32 MA,N4,N4,,32 MA,OEM,32 MA,,,,,1150/1180,4685,4.268943436499466
472,,472,{},1452163448,1452163448,19,19,,,1180,400304,28374460,01To10,2700,32 MA,N4,N4,,32 MA,OEM,32 MA,,,,,1150/1180,1981,1.3629480060575467
473,,473,{},1452163448,1452163448,19,19,,,1180,400314,28374480,01To10,6700,32 SA,N6,N6,,32 MA,OEM,32 MA,,,,,1150/1180,1368,4.89766081871345
715,,715,{},1452163448,1452163448,19,19,,,1150,4002,21151320,01To10,20,32 MA,E3,E3,,32 MA,EXPORT,32 MA,,,,,1150/1180,5000,0.004
716,,716,{},1452163448,1452163448,19,19,,,1150,7103,21151320,01To10,4,32 MA,W3,W3,7150,32 MA,DEPOT,32 MA,W3,W3,32 MA,DEPOT,1150/1180,5000,0.0008
717,,717,{},1452163448,1452163448,19,19,,,1150,7151,21151320,01To10,4,32 MA,W3,W3,7150,32 MA,DEPOT,32 MA,W3,W3,32 MA,DEPOT,1150/1180,5000,0.0008
718,,718,{},1452163448,1452163448,19,19,,,1150,8001,21151320,01To10,5,32 MA,S,S,8300,32 MA,DEPOT,32 MA,S,S,32 MA,DEPOT,1150/1180,5000,0.001
719,,719,{},1452163448,1452163448,19,19,,,1150,8255,21151320,01To10,5,32 MA,S,S,8150,32 MA,DEPOT,18 FT,S,S,32 MA,DEPOT,1150/1180,5000,0.001
720,,720,{},1452163448,1452163448,19,19,,,1150,8301,21151320,01To10,6,18 FT,S,S,8300,18 FT,DEPOT,18 FT,S,S,32 MA,DEPOT,1150/1180,2000,0.003
721,,721,{},1452163448,1452163448,19,19,,,1150,8303,21151320,01To10,11,32 MA,S,S,8300,32 MA,DEPOT,18 FT,S,S,32 MA,DEPOT,1150/1180,5000,0.0022
722,,722,{},1452163448,1452163448,19,19,,,1150,8304,21151320,01To10,4,18 FT,S,S,8300,18 FT,DEPOT,18 FT,S,S,32 MA,DEPOT,1150/1180,2000,0.002
723,,723,{},1452163448,1452163448,19,19,,,1150,8305,21151320,01To10,11,32 MA,S,S,8300,32 MA,DEPOT,18 FT,S,S,32 MA,DEPOT,1150/1180,5000,0.0022
724,,724,{},1452163448,1452163448,19,19,,,1150,8311,21151320,01To10,8,18 FT,S,S,8300,18 FT,DEPOT,18 FT,S,S,32 MA,DEPOT,1150/1180,2000,0.004
