Plant,Destination,Cluster,SubCluster,RDC,DestCategory,TruckType,DemandTruck,DemandTruckFinal
1180,5120,N6,N6,5120,DEPOT,32 MA,0.11643909108012618,0.11643909108012618
1180,5120,N6,N6,5120,DEPOT,32 MA,0.06055461032708344,0.06055461032708344
1180,5120,N6,N6,5120,DEPOT,32 MA,0.20604118698321536,0.20604118698321536
1180,5120,N6,N6,5120,DEPOT,32 MA,0.1518087230157888,0.1518087230157888
1180,5050,N4,N4_1,5050,DEPOT,32 MA,0.07454354029634047,0.07454354029634047
1180,5120,N6,N6,5120,DEPOT,32 MA,0.2401491186499791,0.2401491186499791
1180,5120,N6,N6,5120,DEPOT,32 MA,0.16132086777733248,0.16132086777733248
1180,5050,N4,N4_1,5050,DEPOT,32 MA,0.31428217902429634,0.31428217902429634
1180,5050,N4,N4_1,5050,DEPOT,32 MA,0.32262303696060085,0.32262303696060085
1180,6200,N4,N4_1,6200,DEPOT,32 MA,0.3566335853002832,0.3566335853002832
1180,6200,N4,N4_1,6200,DEPOT,32 MA,0.42867401947828004,0.42867401947828004
1180,5050,W4,W4,5050,DEPOT,32 MA,0.09458699993162065,0.09458699993162065
1180,6200,N4,N4_1,6200,DEPOT,32 MA,0.36380667061366256,0.36380667061366256
1180,5050,N4,N4_1,5050,DEPOT,32 MA,0.31279128527786093,0.31279128527786093
1180,5050,N4,N4_1,5050,DEPOT,32 MA,0.09423402521022797,0.09423402521022797
1180,5120,N4,N4_1,5120,DEPOT,32 MA,0.232437441309059,0.232437441309059
1180,5050,N4,N4_1,5050,DEPOT,32 MA,0.17067744051017536,0.17067744051017536
1180,5050,N5,N5,5050,DEPOT,32 MA,0.23841797447289823,0.23841797447289823
1180,5040,N5,N5,5040,DEPOT,32 MA,0.3401909087544251,0.3401909087544251
1180,5040,N5,N5,5040,DEPOT,18 FT,1.2897992673992673,0.2897992673992673
1180,5040,N5,N5,5040,DEPOT,32 MA,0.6178272157559581,0.6178272157559581
1180,5040,N5,N5,5040,DEPOT,32 MA,0.2549476164560419,0.2549476164560419
1180,5040,N5,N5,5040,DEPOT,32 MA,0.4880494280207602,0.4880494280207602
1180,5040,N5,N5,5040,DEPOT,32 MA,0.18360646352567667,0.18360646352567667
1180,6000,E4,E4,6000,DEPOT,32 MA,0.1096661831904355,0.1096661831904355
1180,6000,E4,E4,6000,DEPOT,32 MA,0.22276746768943825,0.22276746768943825
1180,6000,E4,E4,6000,DEPOT,32 MA,0.4047501184748685,0.4047501184748685
1180,6000,E4,E4,6000,DEPOT,32 MA,0.2175668038741083,0.2175668038741083
1180,6000,E4,E4,6000,DEPOT,32 MA,0.0487851569260359,0.0487851569260359
1180,6000,E4,E4,6000,DEPOT,18 FT,0.36727289377289385,0.36727289377289385
1180,6000,E4,E4,6000,DEPOT,32 MA,0.17303523589618391,0.17303523589618391
1180,BHUBANESHWAR MOGO,E4,E4,BHUBANESHWAR MOGO,DEPOT,32 MA,0.7251740487005135,0.7251740487005135
1180,6000,E4,E4,6000,DEPOT,32 MA,0.5095735528602656,0.5095735528602656
1180,6000,E4,E4,6000,DEPOT,32 MA,0.19442202805201786,0.19442202805201786
1180,6200,E3,E3,6200,DEPOT,32 MA,0.010461538461538461,0.010461538461538461
1180,6200,E3,E3,6200,DEPOT,32 MA,0.10098488419279283,0.10098488419279283
1180,6200,E3,E3,6200,DEPOT,32 MA,0.22612703267975892,0.22612703267975892
1180,6200,E3,E3,6200,DEPOT,32 MA,0.32793017378666284,0.32793017378666284
1180,6200,E3,E3,6200,DEPOT,32 MA,0.21311086088416914,0.21311086088416914
1180,6200,E3,E3,6200,DEPOT,32 MA,0.0785676815744496,0.0785676815744496
1180,6200,E3,E3,6200,DEPOT,32 MA,0.16812974609062942,0.16812974609062942
1180,6200,E3,E3,6200,DEPOT,32 MA,0.08969258332844567,0.08969258332844567
1180,7000,W3,W3_1,7000,DEPOT,32 MA,0.13017099110691865,0.13017099110691865
1180,7000,W3,W3_1,7000,DEPOT,32 MA,0.6699954178500559,0.6699954178500559
1180,7000,W3,W3_1,7000,DEPOT,32 MA,0.34298397527704877,0.34298397527704877
1180,7000,W3,W3_1,7000,DEPOT,32 MA,0.2535133061114212,0.2535133061114212
1180,7000,W3,W3_1,7000,DEPOT,32 MA,0.6478490071668604,0.6478490071668604
1180,7000,W3,W3_1,7000,DEPOT,32 MA,0.14340858105920617,0.14340858105920617
1180,7000,W3,W3_1,7000,DEPOT,32 MA,0.16720509269722317,0.16720509269722317
1180,7000,W3,W3_1,7000,DEPOT,32 MA,0.13255799194252443,0.13255799194252443
1180,NAVI MUMBAI MOGO,W3,W3,NAVI MUMBAI MOGO,DEPOT,32 MA,1.6704354860600013,0.6704354860600013
1180,7150,W3,W3,7150,DEPOT,32 MA,0.5609276390507216,0.5609276390507216
1180,7150,S,S,7150,DEPOT,32 MA,0.343731729365806,0.343731729365806
1180,8150,W3,W3,8150,DEPOT,32 MA,0.5748561184747539,0.5748561184747539
1180,NAVI MUMBAI MOGO,W3,W3,NAVI MUMBAI MOGO,DEPOT,32 MA,0.03873239436619718,0.03873239436619718
1180,7150,W3,W3,7150,DEPOT,32 MA,0.20020845338544152,0.20020845338544152
1180,7150,W3,W3,7150,DEPOT,32 MA,1.4757251924420345,0.4757251924420345
1180,NAGPUR MOGO,W3,W3,NAGPUR MOGO,DEPOT,32 MA,1.2175552955039444,0.21755529550394437
1180,7150,W3,W3,7150,DEPOT,32 MA,0.6296403871947339,0.6296403871947339
1180,7150,W3,W3,7150,DEPOT,32 MA,0.6143278098693541,0.6143278098693541
