pk_ID,granularity,rowID,formatting,createdDate,modifiedDate,createdBy,modifiedBy,createdIP,modifiedIP,Plant,SalesOffice,Material,Period,Demand,SubCluster,Cluster,RDC,TruckType,DestCategory,Tyres,DemandTruck
282,,282,{},1450709139,1450709139,19,19,,,1150,7002,21113920,01To10,79,W3_1,W3,7000,32 MA,DEPOT,4375,0.01805714285714286
283,,283,{},1450709139,1450709139,19,19,,,1150,7003,21113920,01To10,28,W3_1,W3,7000,32 MA,DEPOT,4375,0.0064
284,,284,{},1450709139,1450709139,19,19,,,1150,7051,21113920,01To10,49,W3_1,W3,7000,32 MA,DEPOT,4375,0.0112
285,,285,{},1450709139,1450709139,19,19,,,1150,7102,21113920,01To10,15,W3,W3,NAVI MUMBAI MOGO,32 MA,DEPOT,4375,0.0034285714285714284
286,,286,{},1450709139,1450709139,19,19,,,1150,7104,21113920,01To10,110,S,S,7150,32 MA,DEPOT,4375,0.025142857142857144
287,,287,{},1450709139,1450709139,19,19,,,1150,7105,21113920,01To10,14,W3,W3,8150,32 MA,DEPOT,4375,0.0032
288,,288,{},1450709139,1450709139,19,19,,,1150,7151,21113920,01To10,19,W3,W3,7150,32 MA,DEPOT,4375,0.004342857142857143
289,,289,{},1450709139,1450709139,19,19,,,1150,7152,21113920,01To10,130,W3,W3,NAGPUR MOGO,32 MA,DEPOT,4375,0.029714285714285714
290,,290,{},1450709139,1450709139,19,19,,,1150,7153,21113920,01To10,10,W3,W3,7150,32 MA,DEPOT,4375,0.002285714285714286
291,,291,{},1450709139,1450709139,19,19,,,1150,7155,21113920,01To10,7,W3,W3,7150,32 MA,DEPOT,4375,0.0016
292,,292,{},1450709139,1450709139,19,19,,,1150,7161,21113920,01To10,7,W3,W3,7250,32 MA,DEPOT,4375,0.0016
293,,293,{},1450709139,1450709139,19,19,,,1150,7251,21113920,01To10,16,W4,W4,7250,32 MA,DEPOT,4375,0.003657142857142857
294,,294,{},1450709139,1450709139,19,19,,,1150,7252,21113920,01To10,7,W4,W4,7250,32 MA,DEPOT,4375,0.0016
295,,295,{},1450709139,1450709139,19,19,,,1150,7254,21113920,01To10,13,W4,W4,7250,32 MA,DEPOT,4375,0.0029714285714285715
