Plant,Cluster,SubCluster,TruckType,Destination,DemandTruckFinal
1150/1180,W4,W4,32 SA,7251,0
1150/1180,W4,W4,32 SA,7254,0
1150/1180,W4,W4,32 SA,7301,0
1150/1180,W4,W4,32 SA,7302,1
1150/1180,W4,W4,32 SA,RAIPUR MOGO,1
1150/1180,E4,E4,32 MA,6000,4
1150/1180,E4,E4,32 MA,6001,3
1150/1180,E4,E4,32 MA,6003,3
1150/1180,E4,E4,32 MA,6004,2
1150/1180,E4,E4,32 MA,6011,1
1150/1180,E4,E4,32 MA,6013,2
1150/1180,E4,E4,32 MA,6053,4
1150/1180,E4,E4,32 MA,6102,4
1150/1180,E4,E4,32 MA,6104,1
1150/1180,E4,E4,32 MA,6105,1
1150/1180,E4,E4,32 SA,6000,1
1150/1180,E4,E4,32 SA,6003,0
1150/1180,E4,E4,32 SA,6011,0
1150/1180,E4,E4,32 SA,6012,0
1150/1180,E4,E4,32 SA,6053,0
1150/1180,E4,E4,32 SA,6105,0
1150/1180,E4,E4,32 SA,BHUBANESHWAR MOGO,1
1150/1180,E4,E4,18 FT,6000,1
1150/1180,E4,E4,18 FT,6012,3
1150/1180,E4,E4,18 FT,6103,3
1150/1180,E3,E3,32 MA,6200,3
1150/1180,E3,E3,32 MA,6201,1
1150/1180,E3,E3,32 MA,6202,2
1150/1180,E3,E3,32 MA,6203,2
1150/1180,E3,E3,32 MA,6204,1
1150/1180,E3,E3,32 MA,6205,2
1150/1180,E3,E3,32 MA,6206,0
1150/1180,E3,E3,32 MA,6207,3
1150/1180,E3,E3,32 MA,400035,3
1150/1180,E3,E3,32 SA,6200,1
1150/1180,E3,E3,32 SA,6201,0
1150/1180,E3,E3,32 SA,6203,0
1150/1180,E3,E3,32 SA,6204,0
1150/1180,E3,E3,32 SA,6205,0
1150/1180,W3,W3_1,32 MA,7000,4
1150/1180,W3,W3_1,32 MA,7001,3
1150/1180,W3,W3_1,32 MA,7002,2
1150/1180,W3,W3_1,32 MA,7003,2
1150/1180,W3,W3_1,32 MA,7004,0
1150/1180,W3,W3_1,32 MA,7051,3
1150/1180,W3,W3_1,32 MA,7052,0
1150/1180,W3,W3_1,32 MA,7053,0
