Plant,ClubPlant,Destination,Cluster,SubCluster,RDC,DestCategory,PreferredTruckType,ORGTruckType,RDCCluster,RDCSubCluster,RDCDestCategory,RDCORGTruckType,TruckType,DemandTruck,FullTruckDemand,PartialTruckDemand,PartialTruckDemand_PreferredTruckType
1120,1120,5112,N7,N7,5120,DEPOT,32 MA,32 MA,N7,N7,DEPOT,32 MA,18 FT,0.09442063492063493,0,0.09442063492063493,0.047210317460317466
1120,1120,5114,N7,N7,5120,DEPOT,32 MA,32 MA,N7,N7,DEPOT,32 MA,18 FT,0.06122222222222222,0,0.06122222222222222,0.03061111111111111
1120,1120,5115,N7,N7_1,5050,DEPOT,32 MA,32 MA,N7,N7,DEPOT,32 MA,18 FT,0.012964285714285713,0,0.012964285714285713,0.0064821428571428565
1120,1120,5116,N7,N7,5120,DEPOT,32 MA,32 MA,N7,N7,DEPOT,32 MA,18 FT,0.26744285714285715,0,0.26744285714285715,0.13372142857142857
1120,1120,5120,N7,N7,5120,DEPOT,32 MA,32 MA,N7,N7,DEPOT,32 MA,18 FT,4.7839285714285715,4,0.7839285714285715,0.39196428571428577
1120,1120,5151,N7,N7_1,5050,DEPOT,32 MA,32 MA,N7,N7,DEPOT,32 MA,18 FT,0.14227579365079365,0,0.14227579365079365,0.07113789682539683
1120,1120,5152,N7,N7_1,5050,DEPOT,32 MA,32 MA,N7,N7,DEPOT,32 MA,18 FT,0.26058134920634923,0,0.26058134920634923,0.13029067460317462
1120,1120,5153,N7,N7_1,6200,DEPOT,32 MA,32 MA,E5,E5,DEPOT,32 MA,18 FT,0.11048412698412698,0,0.11048412698412698,0.05524206349206349
1120,1120,5155,N7,N7_1,6200,DEPOT,32 MA,32 MA,E5,E5,DEPOT,32 MA,18 FT,0.07464285714285714,0,0.07464285714285714,0.03732142857142857
1120,1120,5156,W5,W5,5050,DEPOT,32 MA,32 MA,N7,N7,DEPOT,32 MA,18 FT,0.10200000000000001,0,0.10200000000000001,0.051000000000000004
1120,1120,5157,N7,N7_1,6200,DEPOT,32 MA,32 MA,E5,E5,DEPOT,32 MA,18 FT,0.07542857142857143,0,0.07542857142857143,0.037714285714285714
1120,1120,5201,N7,N7_1,5050,DEPOT,32 MA,32 MA,N7,N7,DEPOT,32 MA,18 FT,0.7485460317460317,0,0.7485460317460317,0.37427301587301587
1120,1120,5202,N7,N7_1,5050,DEPOT,32 MA,32 MA,N7,N7,DEPOT,32 MA,18 FT,0.3507142857142857,0,0.3507142857142857,0.17535714285714285
