ClubPlant,Plant,Cluster,SubCluster,TruckType,Destination,DemandTruckFinal
1140,1140,S,S,18 FT,8051,1
1140,1140,S,S,18 FT,8052,2
1140,1140,S,S,18 FT,8053,3
1140,1140,S,S,18 FT,8054,2
1140,1140,S,S,18 FT,8055,1
1140,1140,S,S,18 FT,8102,2
1140,1140,S,S,18 FT,8103,3
1140,1140,S,S,18 FT,8104,2
1140,1140,S,S,18 FT,8105,2
1140,1140,S,S,18 FT,8106,1
1140,1140,S,S,18 FT,8107,1
1140,1140,S,S,18 FT,8151,1
1140,1140,S,S,18 FT,8153,1
1140,1140,S,S,18 FT,8155,1
1140,1140,S,S,18 FT,8156,2
1140,1140,S,S,18 FT,8251,5
1140,1140,S,S,18 FT,8252,2
1140,1140,S,S,18 FT,8253,1
1140,1140,S,S,18 FT,8255,4
1140,1140,S,S,18 FT,8256,3
1140,1140,S,S,18 FT,8257,1
1140,1140,S,S,18 FT,8258,1
1140,1140,S,S,18 FT,8261,1
1140,1140,S,S,18 FT,8300,4
1140,1140,S,S,18 FT,8301,2
1140,1140,S,S,18 FT,8302,1
1140,1140,S,S,18 FT,8303,1
1140,1140,S,S,18 FT,8304,1
1140,1140,S,S,18 FT,8305,1
1140,1140,S,S,18 FT,8311,2
1140,1140,S,S,18 FT,8312,1
1140,1140,S,S,18 FT,8313,1
1140,1140,S,S,18 FT,8351,2
1140,1140,S,S,18 FT,8352,1
1140,1140,S,S,18 FT,8353,2
1140,1140,S,S,18 FT,8354,1
1140,1140,S,S,18 FT,8355,1
1140,1140,S,S,18 FT,8356,1
1140,1140,S,S,18 FT,400005,1
1140,1140,S,S,18 FT,400027,3
1140,1140,S,S,18 FT,400031,1
1140,1140,S,S,18 FT,400061,1
1140,1140,S,S,18 FT,400271,1
1140,1140,S,S,18 FT,400299,4
1140,1140,S,S,18 FT,400311,16
1140,1140,S,S,18 FT,400316,15
1140,1140,S,S,32 MA,8150,3
1140,1140,S,S,32 MA,8300,6
1140,1140,E1,E1,18 FT,4002,5
1140,1140,E1,E1,18 FT,6201,1
1140,1140,E1,E1,18 FT,6202,1
1140,1140,E1,E1,18 FT,6203,2
1140,1140,E1,E1,18 FT,6204,2
1140,1140,E1,E1,18 FT,6206,1
1140,1140,E1,E1,18 FT,6207,1
1140,1140,E1,E1,32 MA,6200,3
1140,1140,N1,N1,18 FT,5001,2
1140,1140,N1,N1,18 FT,5006,1
1140,1140,N1,N1,18 FT,5054,1
1140,1140,N1,N1,18 FT,5071,1
1140,1140,N1,N1,18 FT,400020,8
1140,1140,N1,N1,18 FT,400021,19
1140,1140,N1,N1,18 FT,400058,6
1140,1140,N1,N1,18 FT,400076,1
1140,1140,N1,N1,18 FT,400286,11
1140,1140,N1,N1,18 FT,400304,8
1140,1140,N1,N1,18 FT,400335,4
1140,1140,N1,N1_1,18 FT,5151,1
1140,1140,N1,N1_1,18 FT,5152,2
1140,1140,N1,N1_1,18 FT,5155,1
1140,1140,N1,N1_1,18 FT,5201,1
1140,1140,N1,N1_1,18 FT,5203,3
1140,1140,N3,N3,18 FT,5040,1
1140,1140,N3,N3,18 FT,5051,1
1140,1140,N3,N3,18 FT,5101,2
1140,1140,N3,N3,18 FT,5102,2
1140,1140,N3,N3,18 FT,5103,1
1140,1140,N3,N3,18 FT,5104,3
1140,1140,N3,N3,18 FT,5106,2
1140,1140,N3,N3,18 FT,5112,1
1140,1140,N3,N3,18 FT,5114,1
1140,1140,N3,N3,18 FT,5116,1
1140,1140,N3,N3,18 FT,5120,1
1140,1140,N3,N3,18 FT,400314,9
1140,1140,N3,N3,32 MA,5040,4
1140,1140,N3,N3,32 MA,5120,4
1140,1140,N2,N2,18 FT,5050,3
1140,1140,N2,N2,18 FT,5052,2
1140,1140,N2,N2,18 FT,5053,1
1140,1140,N2,N2,18 FT,5055,2
1140,1140,N2,N2,18 FT,5061,1
1140,1140,N2,N2,18 FT,5301,2
1140,1140,N2,N2,18 FT,5303,1
1140,1140,N2,N2,18 FT,5305,2
1140,1140,N2,N2,18 FT,5306,2
1140,1140,N2,N2,18 FT,5307,1
1140,1140,N2,N2,18 FT,5309,1
1140,1140,N2,N2,18 FT,400121,7
1140,1140,N2,N2,32 MA,5050,6
1140,1140,E2,E2,18 FT,6001,3
1140,1140,E2,E2,18 FT,6003,2
1140,1140,E2,E2,18 FT,6004,1
1140,1140,E2,E2,18 FT,6011,1
1140,1140,E2,E2,18 FT,6012,1
1140,1140,E2,E2,18 FT,6013,1
1140,1140,E2,E2,18 FT,6053,7
1140,1140,E2,E2,18 FT,6102,4
1140,1140,E2,E2,18 FT,6103,3
1140,1140,E2,E2,18 FT,6104,2
1140,1140,E2,E2,32 MA,6000,3
1140,1140,E2,E2,32 MA,6053,1
1140,1140,W1,W1_1,18 FT,7000,1
1140,1140,W1,W1_1,18 FT,7001,2
1140,1140,W1,W1_1,18 FT,7002,1
1140,1140,W1,W1_1,18 FT,7003,1
1140,1140,W1,W1_1,18 FT,7004,1
1140,1140,W1,W1_1,18 FT,7051,2
1140,1140,W1,W1_1,18 FT,7053,1
1140,1140,W1,W1_1,18 FT,7054,1
1140,1140,W1,W1_1,18 FT,400081,2
1140,1140,W1,W1_1,18 FT,400221,2
1140,1140,W1,W1_1,18 FT,400241,1
1140,1140,W1,W1_1,32 MA,7000,3
1140,1140,W1,W1,18 FT,7102,3
1140,1140,W1,W1,18 FT,7103,3
1140,1140,W1,W1,18 FT,7105,2
1140,1140,W1,W1,18 FT,7150,1
1140,1140,W1,W1,18 FT,7151,4
1140,1140,W1,W1,18 FT,7152,3
1140,1140,W1,W1,18 FT,7153,4
1140,1140,W1,W1,18 FT,7154,3
1140,1140,W1,W1,18 FT,7155,2
1140,1140,W1,W1,18 FT,7157,2
1140,1140,W1,W1,18 FT,7161,1
1140,1140,W1,W1,18 FT,400003,23
1140,1140,W1,W1,18 FT,400006,4
1140,1140,W1,W1,18 FT,400038,8
1140,1140,W1,W1,18 FT,400075,8
1140,1140,W1,W1,32 MA,7102,1
1140,1140,W1,W1,32 MA,7150,3
1140,1140,W1,W1,32 MA,7152,1
1140,1140,W2,W2,18 FT,7251,3
1140,1140,W2,W2,18 FT,7252,2
1140,1140,W2,W2,18 FT,7253,1
1140,1140,W2,W2,18 FT,7254,2
1140,1140,W2,W2,18 FT,7301,1
1140,1140,W2,W2,18 FT,7302,1
1140,1140,W2,W2,18 FT,400295,4
1140,1140,W2,W2,32 MA,7250,2
1140,1140,W2,W2,32 MA,7302,1
1160,1160,S,S,18 FT,4000,13
1160,1160,S,S,18 FT,4001,8
1160,1160,S,S,18 FT,4003,1
